model,fpr,tpr,auc
LogisticRegression,0.04170616113744076,0.714410480349345,0.9471490166049242
LogisticRegression,0.04170616113744076,0.7245997088791849,0.9471490166049242
LogisticRegression,0.04202211690363349,0.7245997088791849,0.9471490166049242
LogisticRegression,0.04202211690363349,0.7318777292576419,0.9471490166049242
LogisticRegression,0.04233807266982623,0.7318777292576419,0.9471490166049242
LogisticRegression,0.04233807266982623,0.7362445414847162,0.9471490166049242
LogisticRegression,0.04265402843601896,0.7362445414847162,0.9471490166049242
LogisticRegression,0.04265402843601896,0.7368267831149927,0.9471490166049242
LogisticRegression,0.04296998420221169,0.7368267831149927,0.9471490166049242
LogisticRegression,0.04296998420221169,0.7406113537117904,0.9471490166049242
LogisticRegression,0.04328593996840442,0.7406113537117904,0.9471490166049242
LogisticRegression,0.04328593996840442,0.7537117903930131,0.9471490166049242
LogisticRegression,0.043601895734597156,0.7537117903930131,0.9471490166049242
LogisticRegression,0.043601895734597156,0.7548762736535662,0.9471490166049242
LogisticRegression,0.04391785150078989,0.7548762736535662,0.9471490166049242
LogisticRegression,0.04391785150078989,0.758660844250364,0.9471490166049242
LogisticRegression,0.044233807266982623,0.758660844250364,0.9471490166049242
LogisticRegression,0.044233807266982623,0.7621542940320233,0.9471490166049242
LogisticRegression,0.04454976303317536,0.7621542940320233,0.9471490166049242
LogisticRegression,0.04454976303317536,0.7647743813682678,0.9471490166049242
LogisticRegression,0.04486571879936809,0.7647743813682678,0.9471490166049242
LogisticRegression,0.04486571879936809,0.7700145560407569,0.9471490166049242
LogisticRegression,0.04518167456556082,0.7700145560407569,0.9471490166049242
LogisticRegression,0.04518167456556082,0.7726346433770015,0.9471490166049242
LogisticRegression,0.04549763033175355,0.7726346433770015,0.9471490166049242
LogisticRegression,0.04549763033175355,0.7755458515283843,0.9471490166049242
LogisticRegression,0.045813586097946286,0.7755458515283843,0.9471490166049242
LogisticRegression,0.045813586097946286,0.7834061135371179,0.9471490166049242
LogisticRegression,0.04612954186413902,0.7834061135371179,0.9471490166049242
LogisticRegression,0.04612954186413902,0.784570596797671,0.9471490166049242
LogisticRegression,0.046445497630331754,0.784570596797671,0.9471490166049242
LogisticRegression,0.046445497630331754,0.7988355167394469,0.9471490166049242
LogisticRegression,0.04676145339652449,0.7988355167394469,0.9471490166049242
LogisticRegression,0.04676145339652449,0.8002911208151383,0.9471490166049242
LogisticRegression,0.04707740916271722,0.8002911208151383,0.9471490166049242
LogisticRegression,0.04707740916271722,0.8069868995633188,0.9471490166049242
LogisticRegression,0.04739336492890995,0.8069868995633188,0.9471490166049242
LogisticRegression,0.04739336492890995,0.8098981077147016,0.9471490166049242
LogisticRegression,0.04770932069510268,0.8098981077147016,0.9471490166049242
LogisticRegression,0.04770932069510268,0.8157205240174672,0.9471490166049242
LogisticRegression,0.04802527646129542,0.8157205240174672,0.9471490166049242
LogisticRegression,0.04802527646129542,0.8203784570596798,0.9471490166049242
LogisticRegression,0.04834123222748815,0.8203784570596798,0.9471490166049242
LogisticRegression,0.04834123222748815,0.8232896652110626,0.9471490166049242
LogisticRegression,0.048657187993680885,0.8232896652110626,0.9471490166049242
LogisticRegression,0.048657187993680885,0.8276564774381369,0.9471490166049242
LogisticRegression,0.04897314375987362,0.8276564774381369,0.9471490166049242
LogisticRegression,0.04897314375987362,0.8331877729257642,0.9471490166049242
LogisticRegression,0.04960505529225909,0.8331877729257642,0.9471490166049242
LogisticRegression,0.04960505529225909,0.8358078602620087,0.9471490166049242
LogisticRegression,0.049921011058451814,0.8358078602620087,0.9471490166049242
LogisticRegression,0.049921011058451814,0.8375545851528384,0.9471490166049242
LogisticRegression,0.05023696682464455,0.8375545851528384,0.9471490166049242
LogisticRegression,0.05023696682464455,0.8529839883551674,0.9471490166049242
